Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1635681890,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1635681891,1,,Aggregated,0.000000,0.000000,780,780,780,780,780,780,780,780,780,780,780,1,0,783.1489180000001,783.1489180000001,783.1489180000001,783.1489180000001,12500001.0
1635681892,2,,Aggregated,0.000000,0.000000,440,440,450,450,780,780,780,780,780,780,780,6,0,410.0,451.41402066666666,241.05618299999998,783.1489180000001,12500001.0
1635681893,3,,Aggregated,0.000000,0.000000,450,460,480,480,520,780,780,780,780,780,780,12,0,450.0,461.881289,241.05618299999998,783.1489180000001,12500001.0
1635681894,4,,Aggregated,1.000000,0.000000,480,520,530,570,700,780,780,780,780,780,780,17,0,480.0,498.44051417647063,241.05618299999998,783.1489180000001,12500001.0
1635681895,5,,Aggregated,2.000000,0.000000,520,700,780,900,910,910,960,960,960,960,960,23,0,520.0,599.8118397391306,241.05618299999998,963.9318059999997,12500001.0
1635681896,6,,Aggregated,3.250000,0.000000,570,780,900,910,960,990,1000,1000,1000,1000,1000,27,0,570.0,650.9170784814816,241.05618299999998,1022.2279099999998,12500001.0
1635681897,7,,Aggregated,3.600000,0.000000,700,900,910,960,1300,1500,1500,1500,1500,1500,1500,31,0,700.0,751.285862935484,241.05618299999998,1539.955892,12500001.0
1635681898,8,,Aggregated,3.833333,0.000000,860,910,1300,1300,1500,1500,1500,1500,1500,1500,1500,36,0,780.0,852.2394088611112,241.05618299999998,1540.987661,12500001.0
1635681899,9,,Aggregated,3.857143,0.000000,910,1200,1300,1300,1500,1500,1500,1500,1500,1500,1500,42,0,900.0,913.885724547619,241.05618299999998,1540.987661,12500001.0
1635681900,10,,Aggregated,3.875000,0.000000,960,1300,1400,1400,1500,1500,1600,1600,1600,1600,1600,48,0,910.0,983.4924173958333,241.05618299999998,1585.7906639999992,12500001.0
1635681901,11,,Aggregated,4.222222,0.000000,1200,1400,1500,1500,1700,1800,1800,1800,1800,1800,1800,54,0,1000.0,1067.8397194444444,241.05618299999998,1799.153017,12500001.0
1635681902,12,,Aggregated,4.400000,0.000000,1300,1400,1500,1500,1800,1900,1900,1900,1900,1900,1900,58,0,1200.0,1123.9429843448274,241.05618299999998,1937.7508490000005,12500001.0
1635681903,13,,Aggregated,4.800000,0.000000,1300,1500,1500,1700,1800,1900,2100,2200,2200,2200,2200,61,0,1300.0,1173.8831519836065,241.05618299999998,2159.793939,12500001.0
1635681904,14,,Aggregated,5.300000,0.000000,1400,1500,1800,1800,2300,2600,2600,2600,2600,2600,2600,68,0,1300.0,1309.1412494852939,241.05618299999998,2585.8584899999996,12500001.0
1635681905,15,,Aggregated,5.300000,0.000000,1400,1600,1800,1900,2500,2600,2600,2600,2600,2600,2600,72,0,1400.0,1380.5418911944444,241.05618299999998,2640.045431999999,12500001.0
1635681906,16,,Aggregated,5.000000,0.000000,1500,1800,2100,2300,2500,2600,2600,2600,2600,2600,2600,78,0,1400.0,1469.1407175,241.05618299999998,2640.045431999999,12500001.0
1635681907,17,,Aggregated,5.100000,0.000000,1500,1900,2400,2500,2600,2600,2600,2600,2600,2600,2600,84,0,1500.0,1546.5750405833332,241.05618299999998,2640.045431999999,12500001.0
1635681908,18,,Aggregated,5.100000,0.000000,1500,2100,2500,2600,2600,2600,2700,2700,2700,2700,2700,90,0,1500.0,1620.8270094666666,241.05618299999998,2696.4263840000003,12500001.0
