Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/traditional/non/isbns,1300,0,29000.0,28258.395987142314,235.737584,63276.80742299998,12500001.0,4.340140036732298,0.0,29000,39000,44000,45000,50000,54000,56000,56000,62000,63000,63000
,Aggregated,1300,0,29000.0,28258.395987142314,235.737584,63276.80742299998,12500001.0,4.340140036732298,0.0,29000,39000,44000,45000,50000,54000,56000,56000,62000,63000,63000
