Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/traditional/isbns,270,0,7300.0,7112.582869107411,4098.370640000001,9992.005218999999,12500001.0,4.048363190883506,0.0,7300,8000,8100,8200,8800,9000,9100,9300,10000,10000,10000
,Aggregated,270,0,7300.0,7112.582869107411,4098.370640000001,9992.005218999999,12500001.0,4.048363190883506,0.0,7300,8000,8100,8200,8800,9000,9100,9300,10000,10000,10000
